l_linenumber,l_orderkey,l_productkey,l_sellerkey,l_quantity,l_originalprice,l_fulfillmentdate,l_discount,l_tax
5,102,160,13,9,148.15,\N,19.43,14.82
1,103,94,17,2,74.68,2024-01-17,23.11,7.47
2,103,158,34,3,18.55,2023-11-26,2.12,1.86
3,103,66,3,8,37.93,2024-01-14,4.32,3.79
4,103,189,18,8,26.48,\N,4.81,2.65
5,103,165,21,9,33.41,2023-10-29,11.87,3.34
1,104,95,12,5,120.35,2023-10-25,50.53,12.04
2,104,95,43,10,164.54,2024-02-24,26.61,16.45
3,104,91,45,10,156.16,\N,65.44,15.62
4,104,137,45,8,16.9,\N,3.75,1.69
5,104,59,19,2,52.24,2023-06-08,10.35,5.22
1,105,114,43,8,183.29,2024-03-12,9.3,18.33
2,105,23,48,1,144.83,2024-02-14,20.14,14.48
3,105,123,20,8,157.84,2023-11-29,21.97,15.78
4,105,68,21,2,56.09,\N,24.75,5.61
5,105,110,10,3,86.15,\N,14.51,8.62
1,106,184,18,8,135.77,\N,29.56,13.58
2,106,100,12,10,126.1,\N,52.92,12.61
3,106,47,36,2,171.8,\N,1.86,17.18
4,106,152,31,7,80.74,\N,38.17,8.07
5,106,77,44,9,113.58,2024-04-16,19.15,11.36
1,107,106,41,6,114.08,\N,34.66,11.41
2,107,95,12,10,147.95,2024-04-16,41.08,14.79
3,107,179,24,10,100.18,2024-03-30,38.53,10.02
4,107,90,34,5,44.66,2024-03-25,9.24,4.47
5,107,103,44,5,111.3,\N,26.13,11.13
1,108,59,17,6,127.41,\N,58.58,12.74
2,108,111,1,2,100.73,\N,49.85,10.07
3,108,89,49,9,90.3,\N,37.23,9.03
4,108,185,31,3,186.28,2024-03-11,23.34,18.63
5,108,190,46,6,40.9,2023-09-27,9.93,4.09
1,109,135,8,1,139.21,\N,20.81,13.92
2,109,60,31,10,45.93,\N,5.23,4.59
3,109,11,25,5,95.7,2023-11-26,7.17,9.57
4,109,168,46,8,184.4,2024-02-01,69.01,18.44
5,109,154,14,2,68.08,\N,9.55,6.81
1,110,171,4,1,48.37,2024-03-13,11.17,4.84
2,110,46,25,8,167.4,\N,40.56,16.74
3,110,181,50,3,46.7,2024-02-29,12.14,4.67
4,110,96,46,8,87.73,2024-03-16,16.21,8.77
5,110,49,13,6,175.6,2024-03-19,11.16,17.56
1,111,175,18,10,115.23,\N,16.77,11.52
2,111,33,40,7,112.55,2024-02-26,5.2,11.26
3,111,154,14,2,103.96,2024-03-12,23.11,10.4
4,111,184,42,5,186.49,2024-01-24,55.83,18.65
5,111,44,34,5,136.36,2024-03-31,11.77,13.64
1,112,71,39,10,173.42,\N,24.88,17.34
2,112,85,44,2,151.8,\N,21.0,15.18
3,112,143,12,3,120.71,2024-02-01,5.7,12.07
4,112,123,41,3,62.41,\N,15.59,6.24
5,112,40,2,4,164.28,\N,77.91,16.43
1,113,44,44,1,29.61,\N,10.45,2.96
2,113,141,16,9,166.81,2023-11-09,30.11,16.68
3,113,45,37,2,175.32,\N,68.68,17.53
4,113,66,12,8,74.42,2023-09-26,3.21,7.44
5,113,56,49,10,45.52,\N,10.46,4.55
1,114,184,14,10,183.11,2024-04-22,54.58,18.31
2,114,80,3,6,184.47,2024-01-26,7.83,18.45
3,114,73,40,8,173.96,\N,53.47,17.4
4,114,190,33,1,99.7,\N,5.4,9.97
5,114,36,29,10,157.22,2024-01-08,11.36,15.72
1,115,98,35,3,11.55,\N,3.38,1.16
2,115,91,39,5,142.48,2024-04-04,2.08,14.25
3,115,41,27,6,124.3,2024-04-23,35.81,12.43
4,115,143,43,6,182.73,2024-04-17,34.47,18.27
5,115,77,48,1,188.31,2024-03-25,19.56,18.83
1,116,69,7,8,136.26,2024-01-25,11.23,13.63
2,116,126,31,10,20.81,2024-02-25,9.18,2.08
3,116,135,8,6,87.16,2024-01-18,26.75,8.72
4,116,140,10,2,104.87,\N,7.15,10.49
5,116,4,44,10,31.81,\N,9.63,3.18
1,117,75,16,10,91.6,2024-04-14,25.72,9.16
2,117,87,24,6,153.34,\N,21.25,15.33
3,117,189,10,9,158.6,\N,78.7,15.86
4,117,49,31,1,69.1,\N,19.42,6.91
5,117,54,46,9,123.04,2024-04-06,60.67,12.3
1,118,73,22,7,106.94,\N,25.22,10.69
2,118,90,19,8,146.52,\N,32.57,14.65
3,118,190,3,10,30.38,\N,1.5,3.04
4,118,41,27,7,134.97,2024-03-18,53.15,13.5
5,118,99,16,2,176.97,2024-03-26,27.0,17.7
1,119,103,44,10,149.36,\N,26.58,14.94
2,119,125,5,3,58.68,2023-11-28,28.61,5.87
3,119,142,30,4,193.25,2024-04-02,29.41,19.33
4,119,37,18,10,157.97,2024-03-11,37.69,15.8
5,119,107,49,3,168.22,2023-12-23,43.03,16.82
1,120,10,16,3,110.01,\N,48.18,11.0
2,120,165,1,1,35.11,\N,8.92,3.51
3,120,15,15,2,30.94,\N,0.53,3.09
4,120,26,48,6,115.03,\N,57.16,11.5
5,120,66,12,5,169.56,\N,51.1,16.96
1,121,72,15,8,120.99,\N,57.94,12.1
2,121,73,32,2,184.3,\N,4.95,18.43
3,121,100,28,3,121.64,2024-03-29,34.62,12.16
4,121,103,16,10,96.98,2024-03-16,4.88,9.7
5,121,183,1,10,38.33,2023-12-11,15.06,3.83
1,122,113,7,6,87.51,\N,2.58,8.75
2,122,192,30,8,100.97,\N,10.59,10.1
3,122,70,7,1,59.29,2023-09-21,16.56,5.93
4,122,88,20,4,95.73,\N,16.23,9.57
5,122,99,42,8,92.71,\N,4.06,9.27
1,123,184,18,7,23.11,2024-04-01,2.48,2.31
2,123,100,44,1,146.27,\N,0.3,14.63
3,123,72,15,1,174.5,\N,81.5,17.45
4,123,82,19,5,117.29,2024-01-15,1.82,11.73
5,123,59,17,3,120.14,2024-04-09,60.05,12.01
1,124,53,3,5,21.91,2024-01-14,4.87,2.19
2,124,171,4,2,43.19,\N,6.59,4.32
3,124,110,37,7,61.2,\N,9.53,6.12
4,124,66,12,3,131.13,2024-04-08,31.73,13.11
5,124,178,1,9,160.02,\N,9.42,16.0
1,125,47,11,4,175.39,\N,3.68,17.54
2,125,17,39,9,155.91,\N,59.16,15.59
3,125,96,46,10,164.0,2023-12-14,34.4,16.4
4,125,152,31,7,118.25,2024-03-16,9.93,11.83
5,125,110,37,5,46.99,2024-02-11,14.61,4.7
1,126,99,8,6,92.99,\N,24.61,9.3
2,126,120,13,4,182.33,\N,17.38,18.23
3,126,123,31,8,75.19,\N,27.71,7.52
4,126,59,19,5,198.93,\N,37.5,19.89
5,126,95,12,5,153.96,\N,1.95,15.4
1,127,33,49,7,91.11,\N,21.23,9.11
2,127,178,14,3,179.94,\N,85.87,17.99
3,127,174,50,8,179.5,2023-09-15,28.23,17.95
4,127,195,5,5,86.16,\N,38.44,8.62
5,127,181,45,2,67.23,2023-11-02,10.17,6.72
1,128,198,29,9,55.66,2023-09-20,19.86,5.57
2,128,176,33,6,101.62,\N,36.0,10.16
3,128,77,16,5,103.49,\N,19.14,10.35
4,128,103,9,2,29.49,2023-07-26,14.03,2.95
5,128,55,42,3,139.81,\N,28.06,13.98
1,129,3,18,8,114.44,\N,22.27,11.44
2,129,184,2,7,54.09,2024-02-08,5.06,5.41
3,129,137,45,4,52.63,2024-04-03,24.06,5.26
4,129,73,40,10,139.38,\N,5.89,13.94
5,129,80,3,5,107.88,\N,16.48,10.79
1,130,93,15,5,118.42,2023-11-19,30.32,11.84
2,130,106,48,3,57.01,\N,25.08,5.7
3,130,12,30,8,19.41,2024-02-25,1.23,1.94
4,130,197,42,5,181.46,\N,17.64,18.15
5,130,190,3,1,14.46,\N,5.05,1.45
1,131,117,44,7,111.24,\N,28.91,11.12
2,131,181,19,3,188.72,\N,75.93,18.87
3,131,96,2,1,137.18,\N,3.25,13.72
4,131,134,6,7,103.49,2023-11-09,2.41,10.35
5,131,50,36,2,72.05,\N,10.68,7.21
1,132,198,29,10,12.61,2024-04-13,2.5,1.26
2,132,165,46,10,40.02,2024-02-24,19.0,4.0
3,132,182,46,2,148.94,\N,72.09,14.89
4,132,17,12,7,133.72,\N,4.35,13.37
5,132,75,16,5,192.5,\N,65.66,19.25
1,133,141,10,2,118.46,\N,51.96,11.85
2,133,17,9,7,47.03,\N,15.56,4.7
3,133,128,42,9,119.05,2024-02-16,42.77,11.91
4,133,154,36,9,60.17,\N,25.18,6.02
5,133,103,9,7,7.18,\N,0.1,0.72
1,134,195,5,5,46.26,\N,2.83,4.63
2,134,123,40,4,134.01,\N,28.6,13.4
3,134,64,22,4,192.9,\N,93.01,19.29
4,134,176,46,4,60.49,\N,21.99,6.05
5,134,86,17,9,69.6,\N,0.01,6.96
1,135,54,46,1,59.16,2023-09-26,29.26,5.92
2,135,126,36,6,158.15,2023-10-07,63.86,15.82
3,135,116,27,3,107.66,2023-12-08,38.95,10.77
4,135,25,47,3,81.63,\N,25.0,8.16
5,135,152,31,4,181.39,\N,46.43,18.14
1,136,154,6,1,90.72,\N,0.9,9.07
2,136,127,6,8,22.27,\N,9.19,2.23
3,136,65,18,10,148.08,\N,64.96,14.81
4,136,100,44,8,134.75,\N,52.88,13.48
5,136,174,50,8,106.1,\N,9.44,10.61
1,137,50,36,8,65.43,\N,3.02,6.54
2,137,167,38,10,97.98,\N,23.49,9.8
3,137,71,14,8,69.02,\N,33.18,6.9
4,137,179,24,4,5.76,2024-04-03,2.72,0.58
5,137,126,25,3,29.55,\N,4.63,2.96
1,138,141,16,6,121.2,\N,23.18,12.12
2,138,63,8,4,27.57,\N,3.8,2.76
3,138,129,34,4,185.77,\N,57.72,18.58
4,138,42,18,8,66.13,2024-01-26,31.92,6.61
5,138,48,38,10,25.26,2023-12-29,11.38,2.53
1,139,77,44,6,196.3,2024-03-01,88.83,19.63
2,139,37,18,4,81.79,2023-12-05,40.18,8.18
3,139,95,43,2,159.03,\N,43.28,15.9
4,139,161,47,8,150.55,\N,8.61,15.06
5,139,85,44,4,115.53,\N,41.62,11.55
1,140,2,25,9,26.62,\N,8.66,2.66
2,140,86,17,1,36.27,2024-01-27,15.77,3.63
3,140,10,21,2,11.16,\N,5.33,1.12
4,140,33,13,9,191.03,2024-03-25,80.82,19.1
5,140,40,2,10,116.09,2024-01-06,15.13,11.61
1,141,92,33,7,127.41,2024-04-08,62.97,12.74
2,141,102,2,6,124.16,\N,45.2,12.42
3,141,68,21,5,177.21,\N,50.09,17.72
4,141,129,34,10,151.32,\N,23.3,15.13
5,141,56,49,7,45.28,\N,14.3,4.53
1,142,197,42,10,6.46,2024-04-08,1.25,0.65
2,142,14,39,10,143.75,\N,8.51,14.38
3,142,56,49,3,91.65,\N,16.77,9.17
4,142,187,19,10,187.15,2024-04-03,93.41,18.71
5,142,75,16,9,172.8,\N,62.22,17.28
1,143,112,6,8,151.57,2024-01-20,2.27,15.16
2,143,15,15,5,19.86,2023-11-24,2.25,1.99
3,143,50,36,9,140.73,2024-01-21,64.15,14.07
4,143,8,39,5,187.88,2024-02-04,38.98,18.79
5,143,185,31,10,44.41,2023-12-20,1.57,4.44
1,144,18,32,9,76.19,\N,22.68,7.62
2,144,9,18,4,32.5,\N,5.73,3.25
3,144,171,45,1,162.29,2024-04-06,78.24,16.23
4,144,47,12,6,30.95,2024-03-21,13.1,3.1
5,144,90,43,1,25.34,2024-03-25,11.42,2.53
1,145,65,18,9,70.35,2023-12-11,26.46,7.04
2,145,28,12,9,151.85,\N,27.25,15.19
3,145,137,3,5,70.88,\N,30.17,7.09
4,145,146,49,7,106.86,2024-01-14,11.42,10.69
5,145,9,18,6,74.03,\N,3.17,7.4
1,146,152,31,1,120.11,\N,57.8,12.01
2,146,155,1,6,113.23,2023-12-15,3.9,11.32
3,146,53,25,4,13.66,\N,5.25,1.37
4,146,21,28,7,140.18,\N,54.54,14.02
5,146,77,27,3,154.18,\N,4.33,15.42
1,147,41,38,1,41.9,\N,4.4,4.19
2,147,73,44,3,26.9,\N,9.64,2.69
3,147,141,50,10,154.01,2024-04-06,27.15,15.4
4,147,154,29,4,119.15,2024-03-13,1.49,11.92
5,147,161,36,7,50.24,2024-03-29,7.42,5.02
1,148,160,33,5,79.49,\N,3.22,7.95
2,148,96,2,3,63.22,\N,17.62,6.32
3,148,128,40,9,155.02,\N,40.31,15.5
4,148,21,28,4,47.53,\N,0.51,4.75
5,148,159,1,8,134.74,\N,56.79,13.47
1,149,123,31,7,169.31,2023-11-22,55.54,16.93
2,149,190,3,2,164.73,2024-02-13,48.89,16.47
3,149,66,7,6,80.65,\N,29.95,8.07
4,149,154,24,1,109.26,2024-03-02,29.2,10.93
5,149,142,46,5,22.21,2023-10-16,0.3,2.22
1,150,83,46,1,157.16,\N,3.11,15.72
2,150,8,10,6,27.67,\N,3.16,2.77
3,150,9,19,6,179.3,\N,52.91,17.93
4,150,55,18,6,118.14,\N,41.21,11.81
5,150,193,20,3,147.07,\N,30.11,14.71
1,151,168,38,7,171.1,2023-10-20,64.79,17.11
2,151,100,44,6,132.96,\N,26.55,13.3
3,151,183,12,10,75.77,2023-09-05,15.96,7.58
4,151,47,21,8,117.52,\N,6.53,11.75
5,151,157,47,3,167.86,2023-09-20,40.34,16.79
1,152,64,14,9,140.19,\N,69.35,14.02
2,152,111,1,5,119.08,2024-01-07,33.52,11.91
3,152,106,41,10,60.25,\N,7.24,6.03
4,152,137,45,5,94.09,\N,0.51,9.41
5,152,17,40,7,179.68,\N,34.34,17.97
1,153,98,35,5,154.09,2024-02-25,75.38,15.41
2,153,66,12,7,6.17,2024-03-19,2.89,0.62
3,153,67,35,1,84.86,2024-04-15,12.36,8.49
4,153,200,6,3,23.05,\N,4.31,2.31
5,153,104,44,1,156.63,\N,22.67,15.66
1,154,29,30,7,155.98,\N,11.0,15.6
2,154,111,1,4,36.22,\N,3.88,3.62
3,154,94,42,2,163.15,\N,34.2,16.32
4,154,45,28,8,57.92,\N,22.74,5.79
5,154,168,38,7,20.1,2023-11-27,6.73,2.01
1,155,90,34,5,24.82,\N,5.65,2.48
2,155,24,31,2,124.08,\N,34.04,12.41
3,155,24,31,10,172.01,\N,32.19,17.2
4,155,11,3,6,37.35,2024-03-31,0.63,3.74
5,155,98,7,5,103.35,\N,46.36,10.34
1,156,189,10,2,89.22,2024-02-04,5.73,8.92
2,156,176,42,9,129.61,\N,15.51,12.96
3,156,137,45,8,195.24,2024-02-25,1.24,19.52
4,156,197,42,5,159.82,2024-03-03,64.83,15.98
5,156,94,17,3,140.56,\N,54.46,14.06
1,157,39,11,9,180.57,\N,15.54,18.06
2,157,95,12,5,17.76,2024-01-10,4.33,1.78
3,157,187,10,2,170.64,2024-03-20,9.39,17.06
4,157,63,8,9,43.57,2024-02-08,11.77,4.36
5,157,63,9,7,188.4,\N,49.69,18.84
1,158,119,46,4,189.86,\N,24.32,18.99
2,158,77,16,3,58.81,2024-02-09,21.69,5.88
3,158,190,46,3,47.77,\N,4.35,4.78
4,158,55,42,9,48.37,\N,3.46,4.84
5,158,171,34,7,97.37,\N,3.63,9.74
1,159,49,48,3,64.42,\N,14.99,6.44
2,159,66,3,10,155.07,2024-04-09,57.87,15.51
3,159,127,17,5,107.05,\N,28.06,10.71
4,159,85,44,9,21.45,2024-04-03,6.0,2.15
5,159,182,46,5,127.72,2024-04-15,0.54,12.77
1,160,81,4,4,81.13,2024-04-14,1.5,8.11
2,160,103,44,9,53.2,2024-04-17,26.18,5.32
3,160,103,44,7,86.43,\N,2.18,8.64
4,160,120,13,2,11.38,\N,5.17,1.14
5,160,195,5,5,26.52,2024-04-21,9.28,2.65
1,161,100,44,5,67.95,\N,26.83,6.8
2,161,101,27,10,45.0,2023-12-31,20.67,4.5
3,161,171,34,9,169.43,2024-01-01,84.14,16.94
4,161,17,15,2,11.97,\N,4.74,1.2
5,161,133,29,8,141.44,2024-03-19,48.98,14.14
1,162,32,31,2,115.19,2023-12-22,41.72,11.52
2,162,198,27,4,175.37,\N,22.84,17.54
3,162,77,16,10,58.93,\N,12.54,5.89
4,162,64,5,7,135.85,\N,11.09,13.59
5,162,151,5,8,181.45,2024-04-22,45.52,18.14
1,163,36,12,4,151.33,\N,10.48,15.13
2,163,106,48,1,65.68,\N,19.72,6.57
3,163,66,30,10,98.81,2024-01-05,8.79,9.88
4,163,42,33,5,59.33,2024-01-11,21.45,5.93
5,163,88,9,1,185.25,\N,82.56,18.53
1,164,62,44,1,57.84,2024-04-06,20.04,5.78
2,164,30,49,2,86.78,2024-02-13,38.32,8.68
3,164,62,45,5,15.09,\N,0.1,1.51
4,164,130,40,6,141.71,2023-12-22,61.29,14.17
5,164,75,16,2,126.15,2024-04-21,12.79,12.62
1,165,61,49,6,59.88,\N,2.56,5.99
2,165,107,29,6,197.54,2024-04-10,69.82,19.75
3,165,42,33,10,76.17,\N,14.31,7.62
4,165,117,26,3,198.11,\N,27.33,19.81
5,165,40,8,4,80.03,2024-04-08,4.55,8.0
1,166,178,14,4,77.23,\N,5.39,7.72
2,166,92,13,9,156.69,\N,74.22,15.67
3,166,93,27,4,160.77,2023-11-22,76.07,16.08
4,166,26,22,6,91.37,\N,37.43,9.14
5,166,174,45,7,166.91,2023-10-25,43.99,16.69
1,167,168,35,5,50.82,2024-04-19,20.55,5.08
2,167,140,10,2,90.59,2024-03-19,8.73,9.06
3,167,47,11,10,39.36,2024-04-01,12.63,3.94
4,167,165,12,9,178.28,\N,48.03,17.83
5,167,94,2,4,175.19,\N,6.52,17.52
1,168,28,11,9,26.17,2023-07-25,5.33,2.62
2,168,134,6,4,187.08,\N,47.5,18.71
3,168,27,29,6,174.58,2023-10-23,61.31,17.46
4,168,199,22,7,9.57,2023-07-17,0.72,0.96
5,168,62,4,1,93.69,\N,30.53,9.37
1,169,143,24,2,128.47,2024-04-20,19.51,12.85
2,169,68,21,7,66.76,2024-02-13,19.74,6.68
3,169,53,3,3,6.54,\N,0.18,0.65
4,169,181,19,5,85.84,2024-02-27,37.86,8.58
5,169,59,6,6,69.0,2024-03-22,4.64,6.9
1,170,60,47,3,104.39,\N,9.35,10.44
2,170,13,47,3,199.18,2024-04-01,96.91,19.92
3,170,66,37,9,145.22,2024-03-04,65.47,14.52
4,170,6,5,9,50.63,2024-03-27,14.81,5.06
5,170,68,21,9,39.16,2024-03-17,5.66,3.92
1,171,74,37,1,76.49,2024-01-02,23.2,7.65
2,171,116,15,9,187.78,\N,33.18,18.78
3,171,2,18,1,105.43,2024-04-06,35.5,10.54
4,171,74,37,5,20.69,\N,9.98,2.07
5,171,164,37,7,57.73,\N,7.36,5.77
1,172,146,6,9,93.07,2024-04-04,17.56,9.31
2,172,32,31,4,127.1,\N,16.91,12.71
3,172,113,24,8,145.33,2024-04-19,47.54,14.53
4,172,94,42,3,138.16,2024-02-22,33.63,13.82
5,172,131,10,9,127.71,\N,55.32,12.77
1,173,2,18,3,95.71,2023-10-10,30.04,9.57
2,173,148,29,7,11.3,\N,1.43,1.13
3,173,10,16,10,14.98,2023-07-31,2.59,1.5
4,173,43,5,4,106.06,\N,22.58,10.61
5,173,196,32,10,192.67,2023-08-05,59.46,19.27
1,174,87,7,4,121.93,2023-11-30,35.48,12.19
2,174,97,8,5,116.94,\N,9.73,11.69
3,174,98,9,1,164.46,\N,27.97,16.45
4,174,190,33,7,8.97,\N,4.29,0.9
5,174,28,16,9,179.15,\N,1.36,17.92
1,175,37,26,3,172.08,2024-03-21,49.34,17.21
2,175,56,44,3,71.25,2024-03-26,32.73,7.12
3,175,88,20,9,5.7,2024-04-19,2.62,0.57
4,175,141,19,5,181.0,\N,26.84,18.1
5,175,26,30,9,37.45,2024-03-26,13.84,3.75
1,176,7,11,4,90.19,\N,36.96,9.02
2,176,183,12,3,145.32,\N,71.87,14.53
3,176,165,32,7,118.21,\N,27.95,11.82
4,176,18,32,10,10.95,2024-02-20,2.56,1.09
5,176,45,37,2,14.73,\N,5.25,1.47
1,177,165,40,4,162.74,\N,45.2,16.27
2,177,172,48,8,64.16,\N,16.68,6.42
3,177,98,9,3,54.95,2023-12-24,15.21,5.5
4,177,112,44,7,155.99,\N,5.61,15.6
5,177,45,37,8,153.3,\N,21.43,15.33
1,178,56,49,3,29.24,2024-04-11,12.32,2.92
2,178,129,34,9,140.14,2024-03-27,27.09,14.01
3,178,27,17,4,163.79,2024-04-12,43.99,16.38
4,178,143,12,6,110.51,2024-03-22,1.92,11.05
5,178,41,19,4,35.6,\N,5.63,3.56
1,179,101,27,9,192.36,2024-04-22,49.94,19.24
2,179,199,12,1,186.16,2024-04-03,69.1,18.62
3,179,17,12,7,30.93,\N,6.7,3.09
4,179,10,21,4,133.13,2024-04-16,29.27,13.31
5,179,11,3,2,49.09,\N,13.48,4.91
1,180,141,50,5,95.95,\N,19.7,9.6
2,180,48,38,5,12.98,\N,1.1,1.3
3,180,171,15,6,8.21,\N,0.51,0.82
4,180,8,38,4,170.11,2024-04-07,38.07,17.01
5,180,166,16,10,46.88,2024-04-13,7.24,4.69
1,181,167,10,1,124.68,2024-01-09,20.17,12.47
2,181,74,34,4,162.18,\N,4.99,16.22
3,181,190,33,2,163.45,2024-01-07,41.74,16.34
4,181,168,22,5,33.89,\N,5.38,3.39
5,181,173,1,5,15.75,\N,5.88,1.58
1,182,197,5,9,21.3,\N,2.09,2.13
2,182,67,35,9,92.25,2024-04-18,17.33,9.22
3,182,160,2,2,58.55,\N,9.21,5.86
4,182,195,29,4,98.64,\N,32.7,9.86
5,182,133,4,6,162.89,2024-02-18,65.73,16.29
1,183,50,34,1,80.36,\N,22.41,8.04
2,183,45,28,2,114.75,2023-12-14,43.87,11.48
3,183,146,49,10,65.71,\N,15.4,6.57
4,183,88,47,8,178.08,\N,15.53,17.81
5,183,86,17,6,165.98,2024-03-16,45.31,16.6
1,184,29,19,10,93.63,\N,3.99,9.36
2,184,55,46,7,70.2,\N,4.41,7.02
3,184,147,47,9,150.77,2023-12-20,58.55,15.08
4,184,12,30,10,182.96,\N,61.74,18.3
5,184,46,25,6,150.54,2023-11-20,17.48,15.05
1,185,59,3,9,181.84,2024-02-15,4.71,18.18
2,185,74,37,4,193.43,2024-02-19,72.3,19.34
3,185,185,31,9,189.91,2024-01-05,51.45,18.99
4,185,154,24,1,110.42,2024-01-11,10.69,11.04
5,185,137,45,1,54.54,2024-01-31,15.57,5.45
1,186,3,33,9,77.31,\N,15.78,7.73
2,186,47,35,4,126.93,2024-02-11,47.84,12.69
3,186,173,1,6,77.97,2023-10-09,5.22,7.8
4,186,168,27,5,50.97,\N,8.98,5.1
5,186,77,48,3,38.18,2023-10-09,6.43,3.82
1,187,109,8,8,103.69,2024-04-02,39.21,10.37
2,187,194,26,1,172.51,2024-04-21,61.14,17.25
3,187,151,26,9,67.3,\N,33.56,6.73
4,187,54,16,6,155.59,2024-03-03,40.13,15.56
5,187,165,1,9,179.9,\N,79.89,17.99
1,188,84,25,7,150.19,2024-01-23,2.27,15.02
2,188,88,31,10,174.38,\N,0.06,17.44
3,188,59,3,6,80.04,\N,18.49,8.0
4,188,70,7,7,78.23,2023-10-05,3.37,7.82
5,188,172,17,7,131.99,2023-10-16,37.58,13.2
1,189,100,28,7,194.87,\N,58.44,19.49
2,189,182,46,6,135.06,2024-03-22,64.98,13.51
3,189,154,36,10,42.63,2024-01-21,4.84,4.26
4,189,126,36,10,52.28,2024-02-01,13.74,5.23
5,189,103,11,1,140.61,\N,31.35,14.06
1,190,162,27,5,36.36,2023-08-19,12.12,3.64
2,190,171,15,2,95.78,2023-12-08,9.56,9.58
3,190,29,32,7,21.8,2023-08-15,10.1,2.18
4,190,142,46,4,144.07,2023-08-06,42.59,14.41
5,190,63,8,6,94.8,\N,29.99,9.48
1,191,141,19,3,188.11,\N,66.27,18.81
2,191,160,2,5,25.34,2024-03-22,9.62,2.53
3,191,82,23,10,162.67,2024-04-20,69.96,16.27
4,191,135,38,1,24.34,\N,0.16,2.43
5,191,199,22,3,55.69,2024-04-07,2.35,5.57
1,192,66,37,8,127.76,2024-04-09,40.9,12.78
2,192,129,19,9,115.08,2024-04-15,48.24,11.51
3,192,198,4,1,18.72,\N,3.32,1.87
4,192,20,41,3,116.89,\N,50.82,11.69
5,192,88,47,10,96.25,2024-04-10,25.46,9.62
1,193,66,37,7,192.27,2024-03-19,18.76,19.23
2,193,98,42,10,21.14,\N,5.95,2.11
3,193,66,12,9,158.0,2024-04-16,51.19,15.8
4,193,158,34,4,188.27,2024-03-06,49.97,18.83
5,193,11,25,10,130.07,2024-04-10,56.59,13.01
1,194,72,15,5,131.79,\N,13.46,13.18
2,194,7,11,2,123.82,\N,46.58,12.38
3,194,53,5,8,124.04,\N,23.77,12.4
4,194,178,1,8,26.23,2024-04-22,11.76,2.62
5,194,16,21,8,126.22,\N,55.32,12.62
1,195,119,50,8,72.52,\N,11.39,7.25
2,195,82,40,1,121.85,2024-04-15,47.44,12.19
3,195,5,42,6,36.58,\N,17.3,3.66
4,195,124,18,9,107.18,2024-04-14,11.76,10.72
5,195,14,39,4,166.61,\N,68.02,16.66
1,196,103,11,1,198.2,2023-09-14,58.58,19.82
2,196,61,38,1,176.25,\N,46.67,17.62
3,196,47,11,7,45.93,\N,21.44,4.59
4,196,100,28,10,193.27,2023-04-30,96.32,19.33
5,196,23,48,8,43.22,\N,2.24,4.32
1,197,44,34,8,178.59,\N,5.1,17.86
2,197,162,27,2,128.43,\N,38.41,12.84
3,197,55,18,3,54.5,2024-03-11,21.2,5.45
4,197,179,8,8,139.77,2024-01-07,15.57,13.98
5,197,25,47,9,22.43,2024-04-01,10.68,2.24
1,198,9,28,2,168.91,\N,6.39,16.89
2,198,130,14,8,79.98,2023-11-06,37.24,8.0
3,198,8,39,1,142.65,\N,63.66,14.27
4,198,89,49,6,70.79,\N,13.81,7.08
5,198,167,38,6,159.59,\N,59.11,15.96
1,199,141,50,1,5.71,2024-03-04,2.51,0.57
2,199,130,40,1,77.53,\N,6.24,7.75
3,199,198,29,2,102.41,\N,0.89,10.24
4,199,5,42,4,156.96,\N,74.27,15.7
5,199,155,1,3,84.8,\N,25.85,8.48
1,200,120,13,9,156.11,2024-03-18,58.61,15.61
2,200,40,8,6,193.57,\N,49.92,19.36
3,200,141,28,1,115.96,2024-04-23,15.51,11.6
4,200,55,34,6,144.0,\N,29.92,14.4
5,200,192,30,4,32.7,2024-03-27,3.35,3.27
